,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt,min_dt,activacion_dias,setup_dias,return_dias,habito_dias
3775,2022-01-12,2,MLB756875950,0,,0,,1,2022-01-12,1,2022-01-27,2022-01-12,,0,15,
6798,2022-01-27,4,MLB7569700490,0,,0,,0,,0,,2022-01-27,,,,
586,2022-01-15,2,MLB7570390700,0,,1,2022-02-03,0,,1,2022-01-20,2022-01-15,19,,5,
3660,2022-01-19,3,MLB7572166430,0,,0,,0,,1,2022-01-20,2022-01-19,,,1,
3468,2022-01-04,1,MLB7573554660,0,,0,,1,2022-01-04,0,,2022-01-04,,0,,
5971,2022-01-27,4,MLB7573892070,0,,0,,1,2022-01-29,1,2022-01-28,2022-01-27,,2,1,
3276,2022-01-20,3,MLB7573941160,0,,1,2022-01-22,1,2022-01-22,1,2022-01-21,2022-01-20,2,2,1,
4826,2022-01-14,2,MLB7574740290,0,,0,,0,,1,2022-01-15,2022-01-14,,,1,
9982,2022-01-30,4,MLB7577042880,0,,1,2022-02-12,1,2022-01-30,1,2022-02-11,2022-01-30,13,0,12,
4463,2022-01-14,2,MLB757756860,0,,0,,1,2022-01-14,1,2022-01-15,2022-01-14,,0,1,
6457,2022-01-25,4,MLB7578653470,0,,1,2022-02-01,1,2022-01-25,1,2022-01-27,2022-01-25,7,0,2,
370,2022-01-10,2,MLB7579492460,1,2022-02-07,1,2022-01-10,1,2022-01-16,1,2022-01-11,2022-01-10,0,6,1,28
7004,2022-01-09,1,MLB757959280,0,,1,2022-01-10,0,,1,2022-01-14,2022-01-09,1,,5,
6809,2022-01-03,1,MLB7582100540,1,2022-01-11,1,2022-01-03,1,2022-01-03,1,2022-01-09,2022-01-03,0,0,6,8
6546,2022-01-09,1,MLB7582420070,1,2022-01-15,1,2022-01-09,1,2022-01-09,1,2022-01-10,2022-01-09,0,0,1,6
8771,2022-01-24,4,MLB7582574560,0,,0,,0,,1,2022-01-29,2022-01-24,,,5,
9476,2022-01-22,3,MLB758264270,0,,0,,0,,1,2022-01-25,2022-01-22,,,3,
5542,2022-01-20,3,MLB7583119590,0,,1,2022-01-21,0,,1,2022-01-21,2022-01-20,1,,1,
4483,2022-01-20,3,MLB7583311850,0,,0,,0,,0,,2022-01-20,,,,
